               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023965,           0.0061187,           0.0084776,             0.78448,             0.76085,             0.77134,             0.55071,              0.0221,           0.0047133,            0.016867,             0.00307,             0.00307,             0.00307
                  37,             0.02368,           0.0060809,           0.0076962,             0.79031,             0.78531,             0.78681,             0.56057,            0.022011,            0.004767,             0.01444,            0.002872,            0.002872,            0.002872
                  38,             0.02326,           0.0060025,           0.0076191,             0.81511,             0.75512,             0.77983,             0.56167,             0.02174,           0.0047502,            0.015707,            0.002674,            0.002674,            0.002674
                  39,            0.022918,           0.0058568,           0.0072279,             0.82834,             0.77451,             0.80197,             0.58329,            0.021732,           0.0048198,            0.014245,            0.002476,            0.002476,            0.002476
                  40,            0.022611,           0.0058844,           0.0074766,             0.82185,              0.7769,             0.79519,             0.57972,            0.022028,           0.0049517,            0.013962,            0.002278,            0.002278,            0.002278
                  41,            0.022494,           0.0059401,           0.0072051,             0.87212,             0.74574,             0.80946,             0.59518,            0.020994,           0.0045973,            0.013812,             0.00208,             0.00208,             0.00208
                  42,             0.02209,           0.0057666,           0.0066359,             0.81147,             0.77195,             0.80611,             0.58273,            0.021173,           0.0046738,             0.01393,            0.001882,            0.001882,            0.001882
                  43,            0.021632,            0.005746,           0.0064087,             0.82175,             0.77157,             0.80922,             0.59665,            0.020857,           0.0046775,            0.013601,            0.001684,            0.001684,            0.001684
                  44,            0.021338,           0.0056843,           0.0063914,             0.82944,             0.78065,             0.80931,             0.59654,            0.020936,           0.0046298,            0.013883,            0.001486,            0.001486,            0.001486
                  45,            0.021043,           0.0057199,           0.0061307,             0.82398,             0.78962,             0.80684,             0.59876,            0.020594,           0.0045087,            0.013274,            0.001288,            0.001288,            0.001288
                  46,            0.020739,           0.0056493,           0.0062359,             0.86101,             0.77177,              0.8176,             0.60896,            0.020434,           0.0045451,            0.013604,             0.00109,             0.00109,             0.00109
                  47,            0.020291,           0.0056153,           0.0054597,             0.84247,             0.77088,             0.81316,             0.60351,            0.020567,           0.0045842,            0.013886,            0.000892,            0.000892,            0.000892
                  48,            0.019909,           0.0054623,           0.0056751,             0.86152,             0.77267,             0.81721,             0.60888,            0.020415,           0.0046216,            0.013463,            0.000694,            0.000694,            0.000694
                  49,              0.0198,           0.0056166,           0.0054044,             0.85159,             0.77326,             0.82095,             0.60964,            0.020415,           0.0045781,            0.012816,            0.000496,            0.000496,            0.000496
