epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6591,3.71945,6.15106,2.3955,0,0,0,0,3.61676,5.96807,1.95801,0.00033125,0.00033125,0.0672063
2,60.5295,2.65313,4.43543,1.66507,0.40206,0.02882,0.03546,0.01681,2.18019,3.79172,1.4117,0.000664543,0.000664543,0.0342062
3,90.0017,2.33478,3.62803,1.50449,0.608,0.11686,0.11873,0.0621,1.82441,2.60237,1.26447,0.000997673,0.000997673,0.00120601
4,118.987,2.11537,3.14055,1.3917,0.53409,0.17744,0.1646,0.07474,1.85632,2.37944,1.23768,0.00099945,0.00099945,0.00099945
5,148.012,1.95355,2.73444,1.31781,0.53635,0.19066,0.20488,0.10242,1.80439,2.13303,1.21981,0.000999023,0.000999023,0.000999023
6,177.134,1.84648,2.50866,1.26787,0.61752,0.23498,0.26219,0.14364,1.59056,1.94585,1.15351,0.000998474,0.000998474,0.000998474
7,206.103,1.77661,2.39756,1.25603,0.40176,0.3574,0.30825,0.16233,1.71461,1.93804,1.16937,0.000997803,0.000997803,0.000997803
8,234.853,1.76576,2.30053,1.23048,0.45614,0.36715,0.35718,0.20372,1.49174,1.78598,1.11412,0.000997011,0.000997011,0.000997011
9,264.009,1.7177,2.21537,1.20406,0.408,0.46179,0.40438,0.24091,1.39764,1.63925,1.06431,0.000996097,0.000996097,0.000996097
10,293.143,1.68684,2.14514,1.20157,0.57101,0.40062,0.46339,0.25161,1.53386,1.62001,1.09714,0.000995062,0.000995062,0.000995062
11,322.19,1.64951,2.04121,1.17506,0.5205,0.5101,0.52861,0.30538,1.45619,1.55166,1.07703,0.000993906,0.000993906,0.000993906
12,351.144,1.64223,1.96738,1.18256,0.58145,0.5242,0.54912,0.32588,1.38668,1.44817,1.06361,0.000992629,0.000992629,0.000992629
13,380.288,1.60359,1.88538,1.17136,0.64423,0.53642,0.59381,0.35773,1.42178,1.3612,1.07195,0.000991232,0.000991232,0.000991232
14,409.147,1.57448,1.79412,1.16396,0.59472,0.58307,0.63845,0.38625,1.35126,1.30023,1.03765,0.000989715,0.000989715,0.000989715
15,438.264,1.58068,1.75966,1.15188,0.67735,0.51116,0.62544,0.36167,1.37194,1.35313,1.05021,0.000988079,0.000988079,0.000988079
16,467.175,1.54347,1.72695,1.13726,0.70329,0.55617,0.65869,0.35957,1.49569,1.27259,1.08405,0.000986323,0.000986323,0.000986323
17,496.081,1.56856,1.7047,1.14832,0.63356,0.60144,0.64404,0.37748,1.39051,1.26111,1.05264,0.000984449,0.000984449,0.000984449
18,525.081,1.50613,1.63381,1.1278,0.61016,0.66344,0.69157,0.43592,1.21208,1.14852,1.00801,0.000982456,0.000982456,0.000982456
19,554.117,1.53536,1.62148,1.12672,0.64109,0.63459,0.68974,0.40418,1.34817,1.21262,1.03535,0.000980345,0.000980345,0.000980345
