epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1632.37,1.5623,1.43581,0.99698,0.72723,0.71257,0.78762,0.51512,1.28679,0.96244,0.9476,0.000900844,0.000900844,0.000900844
43,1670.36,1.5559,1.41848,0.98977,0.72485,0.68751,0.79644,0.52117,1.24378,0.98934,0.94476,0.000896127,0.000896127,0.000896127
44,1708.39,1.56189,1.43303,0.99107,0.67054,0.71242,0.78062,0.5091,1.23747,0.915,0.93491,0.000891313,0.000891313,0.000891313
45,1746.47,1.53721,1.37885,0.98365,0.68414,0.71866,0.78351,0.5058,1.2783,0.93411,0.94548,0.000886404,0.000886404,0.000886404
46,1784.54,1.53288,1.38726,0.98615,0.71875,0.71303,0.80564,0.55305,1.20254,0.88298,0.92425,0.000881401,0.000881401,0.000881401
47,1822.61,1.52782,1.33438,0.9828,0.80639,0.67492,0.82149,0.54492,1.20114,0.88538,0.93279,0.000876305,0.000876305,0.000876305
48,1860.61,1.53392,1.34973,0.9918,0.81547,0.68625,0.84117,0.55799,1.21262,0.85538,0.93819,0.000871117,0.000871117,0.000871117
49,1898.94,1.55456,1.33562,0.98525,0.78168,0.72848,0.83288,0.55709,1.2307,0.81424,0.93478,0.000865839,0.000865839,0.000865839
50,1937.06,1.5681,1.34179,0.99259,0.80444,0.69942,0.83395,0.55302,1.22032,0.79376,0.93259,0.000860473,0.000860473,0.000860473
51,1975.17,1.50729,1.28516,0.97867,0.81288,0.66701,0.84833,0.56725,1.18705,0.80604,0.92796,0.000855018,0.000855018,0.000855018
52,2013.37,1.53178,1.31182,0.98369,0.80654,0.69468,0.83515,0.55366,1.18866,0.83909,0.92591,0.000849477,0.000849477,0.000849477
53,2051.61,1.51137,1.30336,0.98061,0.72831,0.77826,0.84289,0.56312,1.22429,0.80821,0.92746,0.000843851,0.000843851,0.000843851
54,2089.73,1.49694,1.27068,0.97106,0.7559,0.739,0.84037,0.56245,1.19956,0.84697,0.92936,0.000838141,0.000838141,0.000838141
55,2127.79,1.49755,1.24343,0.98136,0.85604,0.70302,0.8512,0.56937,1.20865,0.7865,0.92997,0.000832349,0.000832349,0.000832349
56,2165.96,1.51044,1.21885,0.97867,0.77366,0.73926,0.85804,0.57985,1.1798,0.76122,0.92026,0.000826477,0.000826477,0.000826477
57,2204.13,1.48231,1.20625,0.96892,0.80558,0.71288,0.85376,0.57451,1.18948,0.76713,0.92902,0.000820525,0.000820525,0.000820525
58,2242.45,1.4864,1.22361,0.96871,0.74377,0.76143,0.86145,0.5953,1.12964,0.74055,0.9123,0.000814495,0.000814495,0.000814495
59,2280.48,1.49194,1.2177,0.97084,0.7681,0.80246,0.86287,0.58538,1.18028,0.70998,0.9207,0.000808389,0.000808389,0.000808389
60,2318.6,1.45011,1.19334,0.96689,0.7795,0.76693,0.86493,0.59114,1.14952,0.75813,0.91607,0.000802208,0.000802208,0.000802208
61,2357.23,1.46805,1.17921,0.97239,0.74989,0.78212,0.84738,0.58982,1.14144,0.72942,0.91879,0.000795954,0.000795954,0.000795954
62,2395.72,1.46856,1.16539,0.96126,0.79289,0.77498,0.88752,0.60741,1.16325,0.72719,0.91991,0.000789628,0.000789628,0.000789628
63,2434.5,1.47528,1.19588,0.96952,0.78464,0.78965,0.88588,0.61138,1.16671,0.72204,0.91664,0.000783231,0.000783231,0.000783231
