epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,8618.97,0.78309,0.51489,0.86273,0.95991,0.94807,0.97318,0.76807,0.74706,0.48141,0.86775,4.07762e-05,4.07762e-05,4.07762e-05
41,8829.51,0.74964,0.45915,0.85613,0.95811,0.9488,0.97438,0.77096,0.7463,0.47775,0.86771,3.7232e-05,3.7232e-05,3.7232e-05
42,9035.39,0.74144,0.45026,0.85377,0.95444,0.95362,0.97489,0.77298,0.74352,0.46633,0.86686,3.36878e-05,3.36878e-05,3.36878e-05
43,9243.83,0.73522,0.44161,0.85298,0.95326,0.95676,0.97443,0.77404,0.73844,0.46316,0.86635,3.01436e-05,3.01436e-05,3.01436e-05
44,9451.98,0.72973,0.4389,0.85047,0.95765,0.95566,0.97428,0.77386,0.73584,0.45991,0.86489,2.65994e-05,2.65994e-05,2.65994e-05
45,9660.52,0.72293,0.43425,0.84756,0.95813,0.95445,0.97455,0.77539,0.73521,0.45749,0.86358,2.30552e-05,2.30552e-05,2.30552e-05
46,9869.27,0.71879,0.4307,0.84766,0.95766,0.95622,0.97468,0.77734,0.73295,0.45545,0.86306,1.9511e-05,1.9511e-05,1.9511e-05
47,10079.3,0.718,0.42899,0.84541,0.95842,0.95576,0.97454,0.77865,0.73073,0.45279,0.86273,1.59668e-05,1.59668e-05,1.59668e-05
48,10288.2,0.71384,0.42564,0.84761,0.9583,0.95717,0.97415,0.77829,0.73055,0.4527,0.86234,1.24226e-05,1.24226e-05,1.24226e-05
49,10495.6,0.70911,0.42122,0.84556,0.95698,0.95793,0.97446,0.77918,0.72891,0.45145,0.86182,8.8784e-06,8.8784e-06,8.8784e-06
50,10705,0.71089,0.42094,0.84726,0.95855,0.95787,0.97478,0.78044,0.72717,0.45058,0.86172,5.3342e-06,5.3342e-06,5.3342e-06
