epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1341.88,1.32565,1.19011,1.0362,0.76709,0.73834,0.83267,0.55092,1.06782,0.90386,0.95454,0.000900844,0.000900844,0.000900844
43,1373.3,1.28003,1.13632,1.01905,0.75089,0.75067,0.80916,0.56165,1.02852,0.89546,0.94277,0.000896127,0.000896127,0.000896127
44,1404.59,1.29353,1.13703,1.01815,0.74,0.75333,0.82375,0.58674,1.01084,0.86686,0.93576,0.000891313,0.000891313,0.000891313
45,1435.99,1.28172,1.13565,1.01956,0.81937,0.69169,0.80618,0.56019,0.99147,0.85453,0.93429,0.000886404,0.000886404,0.000886404
46,1467.37,1.28453,1.12949,1.02079,0.81463,0.776,0.84527,0.5743,1.03277,0.8414,0.93885,0.000881401,0.000881401,0.000881401
47,1498.89,1.27096,1.10169,1.0186,0.70466,0.82871,0.84006,0.5726,1.0555,0.83773,0.94459,0.000876305,0.000876305,0.000876305
48,1530.4,1.26269,1.07105,1.01008,0.74796,0.77289,0.82386,0.57267,1.02088,0.80128,0.9399,0.000871117,0.000871117,0.000871117
49,1562.01,1.26206,1.09091,1.00615,0.8284,0.71382,0.836,0.586,0.9992,0.79745,0.92979,0.000865839,0.000865839,0.000865839
50,1593.53,1.26301,1.11837,1.01153,0.81524,0.77086,0.83673,0.59061,0.99227,0.82256,0.92859,0.000860473,0.000860473,0.000860473
51,1625.02,1.24351,1.07291,1.00491,0.81962,0.77879,0.85913,0.58859,1.04987,0.79157,0.94812,0.000855018,0.000855018,0.000855018
52,1656.49,1.27878,1.09195,1.00825,0.76388,0.77253,0.84452,0.58962,1.00247,0.79719,0.92859,0.000849477,0.000849477,0.000849477
53,1688.04,1.22981,1.02885,0.99075,0.78013,0.81809,0.86864,0.60423,1.03832,0.78992,0.93727,0.000843851,0.000843851,0.000843851
54,1719.83,1.24272,1.04588,0.99863,0.80306,0.77602,0.85552,0.62438,0.95595,0.78828,0.92012,0.000838141,0.000838141,0.000838141
55,1751.22,1.23498,1.02971,0.99072,0.82008,0.79531,0.86885,0.61996,0.98726,0.77908,0.92778,0.000832349,0.000832349,0.000832349
56,1782.69,1.23143,1.05303,0.99036,0.79471,0.76614,0.84499,0.59982,0.9995,0.76513,0.92815,0.000826477,0.000826477,0.000826477
57,1814.05,1.23878,1.01423,0.998,0.84317,0.79519,0.87116,0.62384,0.96896,0.74321,0.92329,0.000820525,0.000820525,0.000820525
58,1845.6,1.2151,0.99064,0.99289,0.84305,0.77636,0.87781,0.63133,0.97594,0.7836,0.9249,0.000814495,0.000814495,0.000814495
59,1877.14,1.21038,1.00113,0.99189,0.84682,0.77368,0.88547,0.64504,0.94334,0.74685,0.91287,0.000808389,0.000808389,0.000808389
60,1908.58,1.20844,0.98616,0.99588,0.8202,0.83103,0.89042,0.65284,0.93952,0.73258,0.91629,0.000802208,0.000802208,0.000802208
61,1940.21,1.22953,1.01165,0.99044,0.81238,0.82028,0.88451,0.63563,0.96483,0.72449,0.91882,0.000795954,0.000795954,0.000795954
62,1971.57,1.2185,1.00389,0.99341,0.76031,0.86986,0.89696,0.65133,0.92321,0.7075,0.90876,0.000789628,0.000789628,0.000789628
63,2003.05,1.19698,0.9784,0.98155,0.8367,0.7974,0.88954,0.63621,0.95453,0.71973,0.91565,0.000783231,0.000783231,0.000783231
64,2034.45,1.19145,0.95321,0.98724,0.79958,0.8479,0.88723,0.62987,0.95913,0.71184,0.91771,0.000776766,0.000776766,0.000776766
65,2065.93,1.17416,0.92683,0.97642,0.83661,0.80759,0.89136,0.65227,0.92913,0.68435,0.90931,0.000770234,0.000770234,0.000770234
66,2097.49,1.18917,0.95695,0.97967,0.84353,0.85666,0.90205,0.65355,0.94272,0.71225,0.90975,0.000763637,0.000763637,0.000763637
67,2128.95,1.17102,0.93342,0.97545,0.81632,0.84956,0.90451,0.66178,0.92726,0.69733,0.90638,0.000756976,0.000756976,0.000756976
68,2160.53,1.16759,0.91772,0.96827,0.81427,0.82243,0.88876,0.64938,0.92528,0.7074,0.90792,0.000750252,0.000750252,0.000750252
69,2192.15,1.17587,0.95062,0.97749,0.8408,0.82151,0.88817,0.65252,0.93254,0.692,0.90815,0.000743468,0.000743468,0.000743468
